Title,Amount,Category,Date
Rent,1200.00,Housing,2026-06-01
Grocery shopping,86.42,Food,2026-06-03
Uber to airport,34.50,Transport,2026-06-04
Netflix subscription,15.99,Entertainment,2026-06-05
Electric bill,74.20,Utilities,2026-06-06
Dinner with friends,52.10,Food,2026-06-08
Gym membership,40.00,Health,2026-06-08
Concert tickets,120.00,Entertainment,2026-06-10
Gas,45.00,Transport,2026-06-11
Online course,89.99,Education,2026-06-12
Groceries,93.15,Food,2026-06-15
Water bill,28.40,Utilities,2026-06-16
Doctor visit,340.00,Health,2026-06-18
New headphones,79.99,Shopping,2026-06-19
Coffee subscription,18.00,Food,2026-06-20
Rent,1200.00,Housing,2026-07-01
Groceries,102.30,Food,2026-07-02
Bus pass,60.00,Transport,2026-07-03
Internet bill,55.00,Utilities,2026-07-04
Movie night,32.50,Entertainment,2026-07-06
Textbooks,145.00,Education,2026-07-07
Groceries,88.75,Food,2026-07-10
Phone bill,45.00,Utilities,2026-07-11
Shoes,64.99,Shopping,2026-07-12
Dentist,180.00,Health,2026-07-14
Streaming bundle,24.99,Entertainment,2026-07-15
Groceries,95.60,Food,2026-07-18
Gas,48.20,Transport,2026-07-19
Jacket,110.00,Shopping,2026-07-21
Rent,1200.00,Housing,2026-07-22
